name	class	type	lon	lat	place_rank	importance	street	city	county	state	country_code	country	display_name	west	south	east	north
0.5	path	path	7.862882790937263	46.57061081535977	27	0.07499999999999996	0.5			Bern	CH	Switzerland	Lauterbrunnen, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern, Switzerland	7.841036019403274	46.56010566960992	7.88122271889256	46.57096031803866
0.5	path	path	7.863254005808295	46.570373560969024	27	0.07499999999999996	0.5			Bern	CH	Switzerland	Lauterbrunnen, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern, Switzerland	7.862956540220723	46.570062197113614	7.863362140515277	46.57080005604998
1	motorway	motorway	7.267559762578224	47.15857365621502	26	0.09999999999999998	1			Bern	CH	Switzerland	Biel/Bienne, Verwaltungskreis Biel/Bienne, Verwaltungsregion Seeland, Bern, Switzerland	7.26473776379413	47.1577504533072	7.270271077174101	47.15886315095349
1	path	path	8.869461351856305	46.47537547770541	27	0.07499999999999996	1			Ticino	CH	Switzerland	Acquarossa, Circolo d'Acquarossa, Distretto di Blenio, Ticino, Switzerland	8.869208793885917	46.4753372197023	8.869712462447609	46.47539773704324
1	path	path	8.871874313916702	46.47454235837153	27	0.07499999999999996	1			Ticino	CH	Switzerland	Acquarossa, Circolo d'Acquarossa, Distretto di Blenio, Ticino, Switzerland	8.871371073447591	46.474419988038036	8.872397940405392	46.4747366563399
1	path	path	10.397706483913378	46.68886251132592	27	0.07499999999999996	1							10.394179819309839	46.686894947059244	10.398087965483512	46.691010629155485
1	track	track	9.093999029232007	47.6556646180554	26	0.09999999999999998	1			Thurgau	CH	Switzerland	Ermatingen, Bezirk Kreuzlingen, Thurgau, Switzerland	9.093935748413914	47.65562594644433	9.094062398970863	47.65570314377256
1000er-Stägeli	path	steps	7.884893736855482	47.31708593449662	27	0.07499999999999996	1000er-Stägeli			Solothurn	CH	Switzerland	Bezirk Olten, Amtei Olten-Gösgen, Solothurn, Switzerland	7.8828152804955485	47.31519444613786	7.886964322566428	47.31896906859398
1000m Weg Klippe	track	track	8.07070515341174	47.33476366049641	26	0.09999999999999998	1000m Weg Klippe			Aargau	CH	Switzerland	Muhen, Bezirk Aarau, Aargau, Switzerland	8.063014464061666	47.33407392866492	8.077972640827056	47.33583898983518
1000m Weg Klippe	track	track	8.078301981281975	47.33339967971544	26	0.09999999999999998	1000m Weg Klippe			Aargau	CH	Switzerland	Muhen, Bezirk Aarau, Aargau, Switzerland	8.077972640827056	47.33272762737718	8.080642947540072	47.33527195408549
106	path	path	10.095212131341441	46.42170526496306	27	0.07499999999999996	106							10.092165934008847	46.42075108111321	10.098371559842377	46.422679840852446
10. Weg	track	track	7.821044342144148	47.57882612997427	26	0.09999999999999998	10. Weg			Aargau	CH	Switzerland	Rheinfelden, Bezirk Rheinfelden, Aargau, Switzerland	7.8205631370829565	47.576577391081365	7.821525547205339	47.58107486886717
115 Zenna_Forcora	path	path	8.759072993192612	46.09573519231738	27	0.07499999999999996	115 Zenna_Forcora							8.75368873379628	46.09140297137305	8.764921992791386	46.10336126499266
11. Weg	track	track	7.8192122432868985	47.57972554470071	26	0.09999999999999998	11. Weg			Aargau	CH	Switzerland	Rheinfelden, Bezirk Rheinfelden, Aargau, Switzerland	7.819172663165489	47.57827338536949	7.819492348952536	47.581105630451816
12. Weg	track	track	7.818932469352799	47.576907312796116	26	0.09999999999999998	12. Weg			Aargau	CH	Switzerland	Rheinfelden, Bezirk Rheinfelden, Aargau, Switzerland	7.8180624800901635	47.57668677491778	7.819815387500824	47.57706898970252
14	path	path	10.49364710846868	46.61672134201386	27	0.07499999999999996	14							10.492249092268338	46.61501375709994	10.494579680445725	46.6181320765376
143 Lago Delio_Centocampi	path	path	8.769159648293101	46.09667718910241	27	0.07499999999999996	143 Lago Delio_Centocampi							8.76489818818635	46.09140297137305	8.77251683525691	46.100346797335334
144A sentiero Monte Corbaro	path	path	8.80153958746302	46.092173726018935	27	0.07499999999999996	144A sentiero Monte Corbaro							8.800899216687895	46.09068087041464	8.80187922880694	46.09405852593647
144 Nove Fontane_Alpetto	path	path	8.787974705381817	46.093507372296585	27	0.07499999999999996	144 Nove Fontane_Alpetto							8.787805761921504	46.090189942345766	8.794340964187825	46.099371981996214
